Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
orthohydrogen~|~ortho-hydrogen,2.016,4.667537e-7,3.999143e-8,-5.283435e-11,5.439372e-14,-2.138886e-17,10.1021/acs.jced.4c00451
oxygen,31.999,2.460216e-7,8.064382e-8,-5.066e-11,2.29582e-14,-4.100096e-18,10.1021/acs.jced.4c00451
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",106.16000000000001,6.094705e-6,-2.432058e-8,1.281111e-10,-1.560107e-13,6.928275e-17,10.1021/acs.jced.4c00451
parahydrogen~|~para-hydrogen,2.016,4.667537e-7,3.999143e-8,-5.283435e-11,5.439372e-14,-2.138886e-17,10.1021/acs.jced.4c00451
pentane~|~n-pentane,72.15,6.217814e-7,1.408799e-8,3.6746e-11,-5.951075e-14,2.985512e-17,10.1021/acs.jced.4c00451
*~|~poe5,NaN,6.1015e-7,6.497855e-9,8.855101e-12,-7.139657e-15,1.794975e-18,10.1021/acs.jced.4c00451
*~|~poe7,NaN,5.201878e-7,5.515402e-9,6.674882e-12,-4.996085e-15,1.13815e-18,10.1021/acs.jced.4c00451
*~|~poe9,NaN,4.854941e-7,5.157736e-9,5.77724e-12,-4.116278e-15,8.705574e-19,10.1021/acs.jced.4c00451
"propadiene~|~1,2-propadiene",40.064,7.882301e-7,1.771443e-8,5.704238e-11,-1.031829e-13,5.844189e-17,10.1021/acs.jced.4c00451
propane~|~n-propane,44.1,8.35646e-21,2.684617e-8,5.310593e-12,-1.475908e-14,5.425586e-18,10.1021/acs.jced.4c00451
propene~|~propylene,42.08,3.50665e-7,2.288568e-8,2.867238e-11,-5.135163e-14,2.473506e-17,10.1021/acs.jced.4c00451
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",58.079,9.100511e-7,1.705334e-8,4.363117e-11,-6.39575e-14,2.913912e-17,10.1021/acs.jced.4c00451
propyne~|~1-propyne~|~methylacetylene,40.059999999999995,-2.982784e-7,2.887523e-8,2.037657e-11,-6.230464e-14,4.285025e-17,10.1021/acs.jced.4c00451
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",106.16000000000001,4.86934e-6,-1.415993e-8,9.604224e-11,-1.130356e-13,4.81795e-17,10.1021/acs.jced.4c00451
r11~|~cfcl3~|~trichlorofluoromethane,137.36,1.037589e-6,2.089706e-8,5.686112e-11,-8.946433e-14,4.415465e-17,10.1021/acs.jced.4c00451
r1123~|~trifluoroethene~|~trifluoroethylene,82.025,6.272271e-7,3.363717e-8,8.126582e-11,-1.782141e-13,1.165917e-16,10.1021/acs.jced.4c00451
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",187.37,-1.937595e-7,3.709998e-8,-6.290321e-12,2.506143e-15,-5.671101e-19,10.1021/acs.jced.4c00451
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",170.92,-1.781774e-6,5.862169e-8,-6.108399e-11,5.399282e-14,-2.136494e-17,10.1021/acs.jced.4c00451
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",154.45999999999998,-7.348013e-7,4.750863e-8,2.334252e-12,-5.492277e-14,4.539165e-17,10.1021/acs.jced.4c00451
r116~|~perfluoroethane~|~hexafluoroethane,138.01,-1.590227e-7,5.016833e-8,-1.43211e-11,9.906696e-15,-4.107178e-18,10.1021/acs.jced.4c00451
r12~|~dichlorodifluoromethane,120.91,9.544266e-7,2.418057e-8,7.82003e-11,-1.499669e-13,8.982629e-17,10.1021/acs.jced.4c00451
r1216~|~perfluoropropene~|~hexafluoropropene~|~perfluoropropylene~|~hexafluoropropylene,150.023,1.157576e-6,2.633081e-8,1.037903e-10,-2.121007e-13,1.387421e-16,10.1021/acs.jced.4c00451
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",148.487,1.058977e-6,2.109964e-8,6.73097e-11,-1.152309e-13,6.298125e-17,10.1021/acs.jced.4c00451
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",152.93,-2.273638e-6,5.099859e-8,-2.402786e-11,1.462266e-28,-2.419957e-32,10.1021/acs.jced.4c00451
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",130.49,1.034675e-6,2.036127e-8,6.173873e-11,-1.021594e-13,5.359969e-17,10.1021/acs.jced.4c00451
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",114.04,-2.116422e-5,2.488831e-7,-7.995648e-10,1.399102e-12,-9.55601e-16,10.1021/acs.jced.4c00451
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",114.04,-9.306718e-6,8.362977e-8,1.083412e-11,-2.741049e-13,2.989021e-16,10.1021/acs.jced.4c00451
