T,p,eta,rho,shortref,DOI,state,s,eta_s
170,31.36,6.587E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.43029116633894,12.1758592386205
140,0.643,6.618E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.61659295413581,14.2943751634397
140,1.016,6.774E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.62506651833601,14.6384778867851
140,3.578,6.959E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.67951204105868,15.0867268219843
140,3.601,6.954E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.67997417940638,15.0763073373438
140,4.619,7.139E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.70000995128179,15.496242993017
140,5.931,7.193E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.72470999374503,15.6372848544041
140,8.109,7.522E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.76327201814654,16.3923504400301
140,8.796,7.533E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.77487301135776,16.4285444615293
140,11.549,7.85E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.81901611121755,17.1693129263815
140,11.698,7.846E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.82130701139013,17.1631697575664
140,14.39,8.105E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.86116392297845,17.7772327325265
140,14.82,8.17E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.86727915414356,17.9272605386331
140,16.713,8.261E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.89345658540121,18.1595658447487
140,18.365,8.503E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.91538204352498,18.7200991286851
140,21.978,8.847E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.9607020305371,19.5401667623862
140,25.514,9.11E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.00202440665477,20.1814874243141
140,28.688,9.395E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.03692995347253,20.8666740753846
140,32.173,9.732E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.073184556713,21.6742363807673
120,1.189,9.949E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,3.24356459915028,24.9802673371843
